x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89656.8036175,43128.8719252,0.0,0.0,0.0,-0.8190109920497747,0.573777827126183,9.8081139
89655.78531391812,43126.06987259567,0.0,0.0,0.0,-0.915152733869909,0.4031072731797722,9.094477056363226
89653.75684447926,43123.85268171876,0.0,0.0,0.0,-0.9683005574662787,0.2497879709083164,9.195729603450532
89651.17762869172,43122.42711961213,0.0,0.0,0.0,-0.9846616014739592,0.17447501420758768,10.303484491027037
89648.3881429281,43121.406521606,0.0,0.0,0.0,-0.9972424721382245,0.07421220764566082,10.850960897995797
89645.37800306322,43120.956013051815,0.0,0.0,0.0,0.9967963778534995,0.07998112963782994,10.342086801551341
89642.42360529155,43121.43319625133,0.0,0.0,0.0,0.9747994517109584,0.22308300908857864,10.227471750486364
89639.71094943835,43122.74339810467,0.0,0.0,0.0,0.9543902110965703,0.2985620956569067,10.945823377175047
89637.24020533897,43124.45693649246,0.0,0.0,0.0,0.946870688522537,0.32161451959893966,12.164528344311448
89634.91203352548,43126.244773612205,0.0,0.0,0.0,0.9466378254251969,0.3222992824600364,13.242190973980318
89632.53686349379,43128.074169290805,0.0,0.0,0.0,0.9355067787677522,0.35330874158387854,14.211705770565427
89630.24777917672,43130.0908243165,0.0,0.0,0.0,0.9099069369297804,0.41481244692880725,14.957463033002877
89628.28498464337,43132.34995631338,0.0,0.0,0.0,0.8818616709361654,0.47150821131097415,14.787375794892366
89626.63112719507,43134.82648401198,0.0,0.0,0.0,0.8680873024654321,0.4964115583850657,15.390790992499833
89625.10792196773,43137.41503252676,0.0,0.0,0.0,0.867780760283568,0.4969472326934448,16.179594893034913
89623.5879424054,43140.00540934895,0.0,0.0,0.0,0.8751404577802053,0.4838689689949673,16.91118773257389
89621.99164448564,43142.547838177255,0.0,0.0,0.0,0.8809844363379978,0.4731452450677489,17.59325782914928
89620.33354474984,43145.05079954995,0.0,0.0,0.0,0.8827656917435128,0.4698135092572343,18.23187991207392
89618.65876392847,43147.53791789415,0.0,0.0,0.0,0.8794467932335546,0.4759972036380229,17.04419460936663
89617.02491594892,43150.039327167724,0.0,0.0,0.0,0.8732059469723309,0.48735138675513673,14.982021957441708
89615.45175513565,43152.58980481406,0.0,0.0,0.0,0.8561558396016827,0.5167176969254467,12.773601828248308
89614.04777949289,43155.25546356744,0.0,0.0,0.0,0.8155290051627982,0.5787162013786865,10.848815092418674
